"","Pood","Tootenimi","Hind,€","Hind, €/kg"
"99","Rimi","T.sööt Nutribalance Selec. kalkun-lõhe 4x100g",3.09,7.72
"100","Rimi","Koeratoit Mush Duo+Energy siga/lõhe 1kg",6.69,6.69
"101","Rimi","Koeratoit Top Dog Bistroo lõhe-veisel. 1,6kg",9.19,5.74
"102","Rimi","Kiisueine Perfect Fit lõhega 85g",1.29,15.18
"103","Rimi","Kassisööt kuiv One Dual Cranb.lõhe 750g",6.99,9.32
"104","Rimi","Kuivtoit koer. Purina One Mini lõhega 1,5kg",12.39,8.26
"105","Rimi","Koerakons. kana-lõhe-till Animonda Mini 100g",1.49,14.9
"106","Rimi","Kiisueine Perfect Fit kana&lõhe 4*85g",3.99,11.74
"107","Rimi","Koerasööt Purina One Mini sensitive 4x85g",3.99,11.74
"108","Rimi","Kiisueine Perfect Fit kalaga 4*85g",3.99,11.74
"109","Rimi","Lõhemass külmutatud Viči 1kg",4.29,4.29
"110","Rimi","Lõhefilee Rimi külmsuitsu 500g",19.79,39.58
"111","Rimi","Lõhefilee tilliga õrnsuitsu Rimi 100g",3.99,39.9
"112","Rimi","Külmsuitsu lõhetükid Northland 200g",2.45,12.25
"113","Rimi","Lõhesupisegu külmutatud Junga 800g",2.85,3.56
"114","Rimi","Lõhepasteet Abba MSC 145g",2.69,18.55
"115","Rimi","Riis lõhe-köögiviljadega Oriental Rimi 350g",3.99,11.4
"116","Rimi","Pasteet kassidele JosiCat Lõheliha ASC 100g",0.95,9.5
"117","Rimi","Lõhepasteet Pata Negra 110g",2.39,21.73
"118","Rimi","Lõhekaste steriliseeritud kassidele 85g",1.09,12.82
"119","Rimi","Lõherull kuumsuitsu Oniors Zivis kg",NA,11.39
"120","Rimi","Jalakreem Farmona Nivelazione 10% uurea",6.49,NA
"121","Rimi","Pasta lõhetükkidega Frosta 400g",6.99,17.47
"122","Prisma","Lõhefilee jahutatud, kg",15.99,NA
"123","Prisma","Soolalõhe, viilutatud 100 g",3.49,34.9
"124","Prisma","Lõhe jahutatud, roogitud, kg",27.48,10.99
"125","Prisma","Lõhesteigid jahutatud, kg",17.99,NA
"126","Prisma","Lõheliblikas jahutatud, kg",22.99,NA
"127","Prisma","Vähesoolane lõhefilee viilud 150 g",7.49,49.93
"128","Prisma","Lõhefilee apelsini marinaadis 300 g",11.18,37.27
"129","Prisma","Soolalõhe, viilutatud Mati Kala 90 g",3.39,37.67
"130","Prisma","Lõhe, külmsuitsu, viilutatud 200 g",7.75,38.75
"131","Prisma","Külmsuitsu lõhe Premium 150 g",8.74,58.27
"132","Prisma","Grillitud lõhefilee portsjon 120 g",4.59,38.25
"133","Prisma","LÕHERIBID KUUMSUITSU 1 KG",7.39,NA
"134","Prisma","LÕHEFILEE KÜLMSUITSU, VIILUTATUD 100 G",3.79,37.9
"135","Prisma","Kuumsuitsu lõhefilee 1,2-1,5 kg",36.59,NA
"136","Prisma","Külmsuitsu lõhefilee, sulatatud, viilutatud, kg",37.59,NA
"137","Prisma","LÕHERULL KUUMSUITSU 1 KG",11.59,NA
